PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
43,0,3,1,29.69911764705882,0,0,7.8958,1
44,1,2,2,3.0,1,2,41.5792,1
45,1,3,2,19.0,0,0,7.8792,3
46,0,3,1,29.69911764705882,0,0,8.05,2
47,0,3,1,29.69911764705882,1,0,15.5,3
48,1,3,2,29.69911764705882,0,0,7.75,3
49,0,3,1,29.69911764705882,2,0,21.6792,1
50,0,3,2,18.0,1,0,17.8,2
51,0,3,1,7.0,4,1,39.6875,2
52,0,3,1,21.0,0,0,7.8,2
53,1,1,2,49.0,1,0,76.7292,1
54,1,2,2,29.0,1,0,26.0,2
55,0,1,1,65.0,0,1,61.9792,1
56,1,1,1,29.69911764705882,0,0,35.5,2
57,1,2,2,21.0,0,0,10.5,2
58,0,3,1,28.5,0,0,7.2292,1
59,1,2,2,5.0,1,2,27.75,2
60,0,3,1,11.0,5,2,46.9,2
61,0,3,1,22.0,0,0,7.2292,1
62,1,1,2,38.0,0,0,80.0,2
63,0,1,1,45.0,1,0,83.475,2
64,0,3,1,4.0,3,2,27.9,2
65,0,1,1,29.69911764705882,0,0,27.7208,1
66,1,3,1,29.69911764705882,1,1,15.2458,1
67,1,2,2,29.0,0,0,10.5,2
68,0,3,1,19.0,0,0,8.1583,2
69,1,3,2,17.0,4,2,7.925,2
70,0,3,1,26.0,2,0,8.6625,2
71,0,2,1,32.0,0,0,10.5,2
72,0,3,2,16.0,5,2,46.9,2
73,0,2,1,21.0,0,0,73.5,2
74,0,3,1,26.0,1,0,14.4542,1
75,1,3,1,32.0,0,0,56.4958,2
76,0,3,1,25.0,0,0,7.65,2
77,0,3,1,29.69911764705882,0,0,7.8958,2
78,0,3,1,29.69911764705882,0,0,8.05,2
79,1,2,1,0.83,0,2,29.0,2
80,1,3,2,30.0,0,0,12.475,2
81,0,3,1,22.0,0,0,9.0,2
82,1,3,1,29.0,0,0,9.5,2
83,1,3,2,29.69911764705882,0,0,7.7875,3
84,0,1,1,28.0,0,0,47.1,2
85,1,2,2,17.0,0,0,10.5,2
86,1,3,2,33.0,3,0,15.85,2
87,0,3,1,16.0,1,3,34.375,2
88,0,3,1,29.69911764705882,0,0,8.05,2
89,1,1,2,23.0,3,2,263.0,2
90,0,3,1,24.0,0,0,8.05,2
91,0,3,1,29.0,0,0,8.05,2
92,0,3,1,20.0,0,0,7.8542,2
93,0,1,1,46.0,1,0,61.175,2
94,0,3,1,26.0,1,2,20.575,2
95,0,3,1,59.0,0,0,7.25,2
96,0,3,1,29.69911764705882,0,0,8.05,2
97,0,1,1,71.0,0,0,34.6542,1
98,1,1,1,23.0,0,1,63.3583,1
99,1,2,2,34.0,0,1,23.0,2
100,0,2,1,34.0,1,0,26.0,2
101,0,3,2,28.0,0,0,7.8958,2
102,0,3,1,29.69911764705882,0,0,7.8958,2
103,0,1,1,21.0,0,1,77.2875,2
104,0,3,1,33.0,0,0,8.6542,2
105,0,3,1,37.0,2,0,7.925,2
106,0,3,1,28.0,0,0,7.8958,2
107,1,3,2,21.0,0,0,7.65,2
108,1,3,1,29.69911764705882,0,0,7.775,2
109,0,3,1,38.0,0,0,7.8958,2
110,1,3,2,29.69911764705882,1,0,24.15,3
111,0,1,1,47.0,0,0,52.0,2
112,0,3,2,14.5,1,0,14.4542,1
113,0,3,1,22.0,0,0,8.05,2
114,0,3,2,20.0,1,0,9.825,2
115,0,3,2,17.0,0,0,14.4583,1
116,0,3,1,21.0,0,0,7.925,2
117,0,3,1,70.5,0,0,7.75,3
118,0,2,1,29.0,1,0,21.0,2
119,0,1,1,24.0,0,1,247.5208,1
120,0,3,2,2.0,4,2,31.275,2
121,0,2,1,21.0,2,0,73.5,2
122,0,3,1,29.69911764705882,0,0,8.05,2
123,0,2,1,32.5,1,0,30.0708,1
124,1,2,2,32.5,0,0,13.0,2
125,0,1,1,54.0,0,1,77.2875,2
126,1,3,1,12.0,1,0,11.2417,1
127,0,3,1,29.69911764705882,0,0,7.75,3
128,1,3,1,24.0,0,0,7.1417,2
129,1,3,2,29.69911764705882,1,1,22.3583,1
130,0,3,1,45.0,0,0,6.975,2
131,0,3,1,33.0,0,0,7.8958,1
132,0,3,1,20.0,0,0,7.05,2
133,0,3,2,47.0,1,0,14.5,2
134,1,2,2,29.0,1,0,26.0,2
135,0,2,1,25.0,0,0,13.0,2
136,0,2,1,23.0,0,0,15.0458,1
137,1,1,2,19.0,0,2,26.2833,2
138,0,1,1,37.0,1,0,53.1,2
139,0,3,1,16.0,0,0,9.2167,2
140,0,1,1,24.0,0,0,79.2,1
141,0,3,2,29.69911764705882,0,2,15.2458,1
142,1,3,2,22.0,0,0,7.75,2
143,1,3,2,24.0,1,0,15.85,2
144,0,3,1,19.0,0,0,6.75,3
145,0,2,1,18.0,0,0,11.5,2
146,0,2,1,19.0,1,1,36.75,2
147,1,3,1,27.0,0,0,7.7958,2
148,0,3,2,9.0,2,2,34.375,2
149,0,2,1,36.5,0,2,26.0,2
150,0,2,1,42.0,0,0,13.0,2
151,0,2,1,51.0,0,0,12.525,2
152,1,1,2,22.0,1,0,66.6,2
153,0,3,1,55.5,0,0,8.05,2
154,0,3,1,40.5,0,2,14.5,2
155,0,3,1,29.69911764705882,0,0,7.3125,2
156,0,1,1,51.0,0,1,61.3792,1
157,1,3,2,16.0,0,0,7.7333,3
158,0,3,1,30.0,0,0,8.05,2
159,0,3,1,29.69911764705882,0,0,8.6625,2
160,0,3,1,29.69911764705882,8,2,69.55,2
161,0,3,1,44.0,0,1,16.1,2
162,1,2,2,40.0,0,0,15.75,2
163,0,3,1,26.0,0,0,7.775,2
164,0,3,1,17.0,0,0,8.6625,2
165,0,3,1,1.0,4,1,39.6875,2
166,1,3,1,9.0,0,2,20.525,2
167,1,1,2,29.69911764705882,0,1,55.0,2
168,0,3,2,45.0,1,4,27.9,2
169,0,1,1,29.69911764705882,0,0,25.925,2
170,0,3,1,28.0,0,0,56.4958,2
171,0,1,1,61.0,0,0,33.5,2
172,0,3,1,4.0,4,1,29.125,3
173,1,3,2,1.0,1,1,11.1333,2
174,0,3,1,21.0,0,0,7.925,2
175,0,1,1,56.0,0,0,30.6958,1
176,0,3,1,18.0,1,1,7.8542,2
177,0,3,1,29.69911764705882,3,1,25.4667,2
178,0,1,2,50.0,0,0,28.7125,1
179,0,2,1,30.0,0,0,13.0,2
180,0,3,1,36.0,0,0,0.0,2
181,0,3,2,29.69911764705882,8,2,69.55,2
182,0,2,1,29.69911764705882,0,0,15.05,1
183,0,3,1,9.0,4,2,31.3875,2
184,1,2,1,1.0,2,1,39.0,2
185,1,3,2,4.0,0,2,22.025,2
186,0,1,1,29.69911764705882,0,0,50.0,2
187,1,3,2,29.69911764705882,1,0,15.5,3
188,1,1,1,45.0,0,0,26.55,2
189,0,3,1,40.0,1,1,15.5,3
190,0,3,1,36.0,0,0,7.8958,2
191,1,2,2,32.0,0,0,13.0,2
192,0,2,1,19.0,0,0,13.0,2
193,1,3,2,19.0,1,0,7.8542,2
194,1,2,1,3.0,1,1,26.0,2
195,1,1,2,44.0,0,0,27.7208,1
196,1,1,2,58.0,0,0,146.5208,1
197,0,3,1,29.69911764705882,0,0,7.75,3
198,0,3,1,42.0,0,1,8.4042,2
199,1,3,2,29.69911764705882,0,0,7.75,3
200,0,2,2,24.0,0,0,13.0,2
201,0,3,1,28.0,0,0,9.5,2
202,0,3,1,29.69911764705882,8,2,69.55,2
203,0,3,1,34.0,0,0,6.4958,2
204,0,3,1,45.5,0,0,7.225,1
205,1,3,1,18.0,0,0,8.05,2
206,0,3,2,2.0,0,1,10.4625,2
207,0,3,1,32.0,1,0,15.85,2
208,1,3,1,26.0,0,0,18.7875,1
209,1,3,2,16.0,0,0,7.75,3
210,1,1,1,40.0,0,0,31.0,1
211,0,3,1,24.0,0,0,7.05,2
212,1,2,2,35.0,0,0,21.0,2
213,0,3,1,22.0,0,0,7.25,2
214,0,2,1,30.0,0,0,13.0,2
215,0,3,1,29.69911764705882,1,0,7.75,3
216,1,1,2,31.0,1,0,113.275,1
217,1,3,2,27.0,0,0,7.925,2
218,0,2,1,42.0,1,0,27.0,2
219,1,1,2,32.0,0,0,76.2917,1
220,0,2,1,30.0,0,0,10.5,2
221,1,3,1,16.0,0,0,8.05,2
222,0,2,1,27.0,0,0,13.0,2
223,0,3,1,51.0,0,0,8.05,2
224,0,3,1,29.69911764705882,0,0,7.8958,2
225,1,1,1,38.0,1,0,90.0,2
226,0,3,1,22.0,0,0,9.35,2
227,1,2,1,19.0,0,0,10.5,2
228,0,3,1,20.5,0,0,7.25,2
229,0,2,1,18.0,0,0,13.0,2
230,0,3,2,29.69911764705882,3,1,25.4667,2
231,1,1,2,35.0,1,0,83.475,2
232,0,3,1,29.0,0,0,7.775,2
233,0,2,1,59.0,0,0,13.5,2
234,1,3,2,5.0,4,2,31.3875,2
235,0,2,1,24.0,0,0,10.5,2
236,0,3,2,29.69911764705882,0,0,7.55,2
237,0,2,1,44.0,1,0,26.0,2
238,1,2,2,8.0,0,2,26.25,2
239,0,2,1,19.0,0,0,10.5,2
240,0,2,1,33.0,0,0,12.275,2
241,0,3,2,29.69911764705882,1,0,14.4542,1
242,1,3,2,29.69911764705882,1,0,15.5,3
243,0,2,1,29.0,0,0,10.5,2
244,0,3,1,22.0,0,0,7.125,2
245,0,3,1,30.0,0,0,7.225,1
246,0,1,1,44.0,2,0,90.0,3
247,0,3,2,25.0,0,0,7.775,2
248,1,2,2,24.0,0,2,14.5,2
249,1,1,1,37.0,1,1,52.5542,2
250,0,2,1,54.0,1,0,26.0,2
251,0,3,1,29.69911764705882,0,0,7.25,2
252,0,3,2,29.0,1,1,10.4625,2
253,0,1,1,62.0,0,0,26.55,2
254,0,3,1,30.0,1,0,16.1,2
255,0,3,2,41.0,0,2,20.2125,2
256,1,3,2,29.0,0,2,15.2458,1
257,1,1,2,29.69911764705882,0,0,79.2,1
258,1,1,2,30.0,0,0,86.5,2
259,1,1,2,35.0,0,0,512.3292,1
260,1,2,2,50.0,0,1,26.0,2
261,0,3,1,29.69911764705882,0,0,7.75,3
262,1,3,1,3.0,4,2,31.3875,2
263,0,1,1,52.0,1,1,79.65,2
264,0,1,1,40.0,0,0,0.0,2
265,0,3,2,29.69911764705882,0,0,7.75,3
266,0,2,1,36.0,0,0,10.5,2
267,0,3,1,16.0,4,1,39.6875,2
268,1,3,1,25.0,1,0,7.775,2
269,1,1,2,58.0,0,1,153.4625,2
270,1,1,2,35.0,0,0,135.6333,2
271,0,1,1,29.69911764705882,0,0,31.0,2
272,1,3,1,25.0,0,0,0.0,2
273,1,2,2,41.0,0,1,19.5,2
274,0,1,1,37.0,0,1,29.7,1
275,1,3,2,29.69911764705882,0,0,7.75,3
276,1,1,2,63.0,1,0,77.9583,2
277,0,3,2,45.0,0,0,7.75,2
278,0,2,1,29.69911764705882,0,0,0.0,2
279,0,3,1,7.0,4,1,29.125,3
280,1,3,2,35.0,1,1,20.25,2
281,0,3,1,65.0,0,0,7.75,3
282,0,3,1,28.0,0,0,7.8542,2
283,0,3,1,16.0,0,0,9.5,2
284,1,3,1,19.0,0,0,8.05,2
285,0,1,1,29.69911764705882,0,0,26.0,2
286,0,3,1,33.0,0,0,8.6625,1
287,1,3,1,30.0,0,0,9.5,2
288,0,3,1,22.0,0,0,7.8958,2
289,1,2,1,42.0,0,0,13.0,2
290,1,3,2,22.0,0,0,7.75,3
291,1,1,2,26.0,0,0,78.85,2
292,1,1,2,19.0,1,0,91.0792,1
293,0,2,1,36.0,0,0,12.875,1
294,0,3,2,24.0,0,0,8.85,2
295,0,3,1,24.0,0,0,7.8958,2
296,0,1,1,29.69911764705882,0,0,27.7208,1
297,0,3,1,23.5,0,0,7.2292,1
298,0,1,2,2.0,1,2,151.55,2
299,1,1,1,29.69911764705882,0,0,30.5,2
300,1,1,2,50.0,0,1,247.5208,1
301,1,3,2,29.69911764705882,0,0,7.75,3
302,1,3,1,29.69911764705882,2,0,23.25,3
303,0,3,1,19.0,0,0,0.0,2
304,1,2,2,29.69911764705882,0,0,12.35,3
305,0,3,1,29.69911764705882,0,0,8.05,2
306,1,1,1,0.92,1,2,151.55,2
307,1,1,2,29.69911764705882,0,0,110.8833,1
308,1,1,2,17.0,1,0,108.9,1
309,0,2,1,30.0,1,0,24.0,1
310,1,1,2,30.0,0,0,56.9292,1
311,1,1,2,24.0,0,0,83.1583,1
312,1,1,2,18.0,2,2,262.375,1
313,0,2,2,26.0,1,1,26.0,2
314,0,3,1,28.0,0,0,7.8958,2
315,0,2,1,43.0,1,1,26.25,2
316,1,3,2,26.0,0,0,7.8542,2
317,1,2,2,24.0,1,0,26.0,2
318,0,2,1,54.0,0,0,14.0,2
319,1,1,2,31.0,0,2,164.8667,2
320,1,1,2,40.0,1,1,134.5,1
321,0,3,1,22.0,0,0,7.25,2
322,0,3,1,27.0,0,0,7.8958,2
323,1,2,2,30.0,0,0,12.35,3
324,1,2,2,22.0,1,1,29.0,2
325,0,3,1,29.69911764705882,8,2,69.55,2
326,1,1,2,36.0,0,0,135.6333,1
327,0,3,1,61.0,0,0,6.2375,2
328,1,2,2,36.0,0,0,13.0,2
329,1,3,2,31.0,1,1,20.525,2
330,1,1,2,16.0,0,1,57.9792,1
331,1,3,2,29.69911764705882,2,0,23.25,3
332,0,1,1,45.5,0,0,28.5,2
333,0,1,1,38.0,0,1,153.4625,2
334,0,3,1,16.0,2,0,18.0,2
335,1,1,2,29.69911764705882,1,0,133.65,2
336,0,3,1,29.69911764705882,0,0,7.8958,2
337,0,1,1,29.0,1,0,66.6,2
338,1,1,2,41.0,0,0,134.5,1
339,1,3,1,45.0,0,0,8.05,2
340,0,1,1,45.0,0,0,35.5,2
341,1,2,1,2.0,1,1,26.0,2
342,1,1,2,24.0,3,2,263.0,2
343,0,2,1,28.0,0,0,13.0,2
344,0,2,1,25.0,0,0,13.0,2
345,0,2,1,36.0,0,0,13.0,2
346,1,2,2,24.0,0,0,13.0,2
347,1,2,2,40.0,0,0,13.0,2
348,1,3,2,29.69911764705882,1,0,16.1,2
349,1,3,1,3.0,1,1,15.9,2
350,0,3,1,42.0,0,0,8.6625,2
351,0,3,1,23.0,0,0,9.225,2
352,0,1,1,29.69911764705882,0,0,35.0,2
353,0,3,1,15.0,1,1,7.2292,1
354,0,3,1,25.0,1,0,17.8,2
355,0,3,1,29.69911764705882,0,0,7.225,1
356,0,3,1,28.0,0,0,9.5,2
357,1,1,2,22.0,0,1,55.0,2
358,0,2,2,38.0,0,0,13.0,2
359,1,3,2,29.69911764705882,0,0,7.8792,3
360,1,3,2,29.69911764705882,0,0,7.8792,3
361,0,3,1,40.0,1,4,27.9,2
362,0,2,1,29.0,1,0,27.7208,1
363,0,3,2,45.0,0,1,14.4542,1
364,0,3,1,35.0,0,0,7.05,2
365,0,3,1,29.69911764705882,1,0,15.5,3
366,0,3,1,30.0,0,0,7.25,2
367,1,1,2,60.0,1,0,75.25,1
368,1,3,2,29.69911764705882,0,0,7.2292,1
369,1,3,2,29.69911764705882,0,0,7.75,3
370,1,1,2,24.0,0,0,69.3,1
371,1,1,1,25.0,1,0,55.4417,1
372,0,3,1,18.0,1,0,6.4958,2
373,0,3,1,19.0,0,0,8.05,2
374,0,1,1,22.0,0,0,135.6333,1
375,0,3,2,3.0,3,1,21.075,2
376,1,1,2,29.69911764705882,1,0,82.1708,1
377,1,3,2,22.0,0,0,7.25,2
378,0,1,1,27.0,0,2,211.5,1
379,0,3,1,20.0,0,0,4.0125,1
380,0,3,1,19.0,0,0,7.775,2
381,1,1,2,42.0,0,0,227.525,1
382,1,3,2,1.0,0,2,15.7417,1
383,0,3,1,32.0,0,0,7.925,2
384,1,1,2,35.0,1,0,52.0,2
385,0,3,1,29.69911764705882,0,0,7.8958,2
386,0,2,1,18.0,0,0,73.5,2
387,0,3,1,1.0,5,2,46.9,2
388,1,2,2,36.0,0,0,13.0,2
389,0,3,1,29.69911764705882,0,0,7.7292,3
390,1,2,2,17.0,0,0,12.0,1
391,1,1,1,36.0,1,2,120.0,2
392,1,3,1,21.0,0,0,7.7958,2
393,0,3,1,28.0,2,0,7.925,2
394,1,1,2,23.0,1,0,113.275,1
395,1,3,2,24.0,0,2,16.7,2
396,0,3,1,22.0,0,0,7.7958,2
397,0,3,2,31.0,0,0,7.8542,2
398,0,2,1,46.0,0,0,26.0,2
399,0,2,1,23.0,0,0,10.5,2
400,1,2,2,28.0,0,0,12.65,2
401,1,3,1,39.0,0,0,7.925,2
402,0,3,1,26.0,0,0,8.05,2
403,0,3,2,21.0,1,0,9.825,2
404,0,3,1,28.0,1,0,15.85,2
405,0,3,2,20.0,0,0,8.6625,2
406,0,2,1,34.0,1,0,21.0,2
407,0,3,1,51.0,0,0,7.75,2
408,1,2,1,3.0,1,1,18.75,2
409,0,3,1,21.0,0,0,7.775,2
410,0,3,2,29.69911764705882,3,1,25.4667,2
411,0,3,1,29.69911764705882,0,0,7.8958,2
412,0,3,1,29.69911764705882,0,0,6.8583,3
413,1,1,2,33.0,1,0,90.0,3
414,0,2,1,29.69911764705882,0,0,0.0,2
415,1,3,1,44.0,0,0,7.925,2
416,0,3,2,29.69911764705882,0,0,8.05,2
417,1,2,2,34.0,1,1,32.5,2
418,1,2,2,18.0,0,2,13.0,2
419,0,2,1,30.0,0,0,13.0,2
420,0,3,2,10.0,0,2,24.15,2
421,0,3,1,29.69911764705882,0,0,7.8958,1
422,0,3,1,21.0,0,0,7.7333,3
423,0,3,1,29.0,0,0,7.875,2
424,0,3,2,28.0,1,1,14.4,2
425,0,3,1,18.0,1,1,20.2125,2
426,0,3,1,29.69911764705882,0,0,7.25,2
427,1,2,2,28.0,1,0,26.0,2
428,1,2,2,19.0,0,0,26.0,2
429,0,3,1,29.69911764705882,0,0,7.75,3
430,1,3,1,32.0,0,0,8.05,2
431,1,1,1,28.0,0,0,26.55,2
432,1,3,2,29.69911764705882,1,0,16.1,2
433,1,2,2,42.0,1,0,26.0,2
434,0,3,1,17.0,0,0,7.125,2
435,0,1,1,50.0,1,0,55.9,2
436,1,1,2,14.0,1,2,120.0,2
437,0,3,2,21.0,2,2,34.375,2
438,1,2,2,24.0,2,3,18.75,2
439,0,1,1,64.0,1,4,263.0,2
440,0,2,1,31.0,0,0,10.5,2
441,1,2,2,45.0,1,1,26.25,2
442,0,3,1,20.0,0,0,9.5,2
443,0,3,1,25.0,1,0,7.775,2
444,1,2,2,28.0,0,0,13.0,2
445,1,3,1,29.69911764705882,0,0,8.1125,2
446,1,1,1,4.0,0,2,81.8583,2
447,1,2,2,13.0,0,1,19.5,2
448,1,1,1,34.0,0,0,26.55,2
449,1,3,2,5.0,2,1,19.2583,1
450,1,1,1,52.0,0,0,30.5,2
451,0,2,1,36.0,1,2,27.75,2
452,0,3,1,29.69911764705882,1,0,19.9667,2
453,0,1,1,30.0,0,0,27.75,1
454,1,1,1,49.0,1,0,89.1042,1
455,0,3,1,29.69911764705882,0,0,8.05,2
456,1,3,1,29.0,0,0,7.8958,1
457,0,1,1,65.0,0,0,26.55,2
458,1,1,2,29.69911764705882,1,0,51.8625,2
459,1,2,2,50.0,0,0,10.5,2
460,0,3,1,29.69911764705882,0,0,7.75,3
461,1,1,1,48.0,0,0,26.55,2
462,0,3,1,34.0,0,0,8.05,2
463,0,1,1,47.0,0,0,38.5,2
464,0,2,1,48.0,0,0,13.0,2
465,0,3,1,29.69911764705882,0,0,8.05,2
466,0,3,1,38.0,0,0,7.05,2
467,0,2,1,29.69911764705882,0,0,0.0,2
468,0,1,1,56.0,0,0,26.55,2
469,0,3,1,29.69911764705882,0,0,7.725,3
470,1,3,2,0.75,2,1,19.2583,1
471,0,3,1,29.69911764705882,0,0,7.25,2
472,0,3,1,38.0,0,0,8.6625,2
473,1,2,2,33.0,1,2,27.75,2
474,1,2,2,23.0,0,0,13.7917,1
475,0,3,2,22.0,0,0,9.8375,2
476,0,1,1,29.69911764705882,0,0,52.0,2
477,0,2,1,34.0,1,0,21.0,2
478,0,3,1,29.0,1,0,7.0458,2
479,0,3,1,22.0,0,0,7.5208,2
480,1,3,2,2.0,0,1,12.2875,2
481,0,3,1,9.0,5,2,46.9,2
482,0,2,1,29.69911764705882,0,0,0.0,2
483,0,3,1,50.0,0,0,8.05,2
484,1,3,2,63.0,0,0,9.5875,2
485,1,1,1,25.0,1,0,91.0792,1
486,0,3,2,29.69911764705882,3,1,25.4667,2
487,1,1,2,35.0,1,0,90.0,2
488,0,1,1,58.0,0,0,29.7,1
489,0,3,1,30.0,0,0,8.05,2
490,1,3,1,9.0,1,1,15.9,2
491,0,3,1,29.69911764705882,1,0,19.9667,2
492,0,3,1,21.0,0,0,7.25,2
493,0,1,1,55.0,0,0,30.5,2
494,0,1,1,71.0,0,0,49.5042,1
495,0,3,1,21.0,0,0,8.05,2
496,0,3,1,29.69911764705882,0,0,14.4583,1
497,1,1,2,54.0,1,0,78.2667,1
498,0,3,1,29.69911764705882,0,0,15.1,2
499,0,1,2,25.0,1,2,151.55,2
500,0,3,1,24.0,0,0,7.7958,2
501,0,3,1,17.0,0,0,8.6625,2
502,0,3,2,21.0,0,0,7.75,3
503,0,3,2,29.69911764705882,0,0,7.6292,3
504,0,3,2,37.0,0,0,9.5875,2
505,1,1,2,16.0,0,0,86.5,2
506,0,1,1,18.0,1,0,108.9,1
507,1,2,2,33.0,0,2,26.0,2
508,1,1,1,29.69911764705882,0,0,26.55,2
509,0,3,1,28.0,0,0,22.525,2
510,1,3,1,26.0,0,0,56.4958,2
511,1,3,1,29.0,0,0,7.75,3
512,0,3,1,29.69911764705882,0,0,8.05,2
513,1,1,1,36.0,0,0,26.2875,2
514,1,1,2,54.0,1,0,59.4,1
515,0,3,1,24.0,0,0,7.4958,2
516,0,1,1,47.0,0,0,34.0208,2
517,1,2,2,34.0,0,0,10.5,2
518,0,3,1,29.69911764705882,0,0,24.15,3
519,1,2,2,36.0,1,0,26.0,2
520,0,3,1,32.0,0,0,7.8958,2
521,1,1,2,30.0,0,0,93.5,2
522,0,3,1,22.0,0,0,7.8958,2
523,0,3,1,29.69911764705882,0,0,7.225,1
524,1,1,2,44.0,0,1,57.9792,1
525,0,3,1,29.69911764705882,0,0,7.2292,1
526,0,3,1,40.5,0,0,7.75,3
527,1,2,2,50.0,0,0,10.5,2
528,0,1,1,29.69911764705882,0,0,221.7792,2
529,0,3,1,39.0,0,0,7.925,2
530,0,2,1,23.0,2,1,11.5,2
531,1,2,2,2.0,1,1,26.0,2
532,0,3,1,29.69911764705882,0,0,7.2292,1
533,0,3,1,17.0,1,1,7.2292,1
534,1,3,2,29.69911764705882,0,2,22.3583,1
535,0,3,2,30.0,0,0,8.6625,2
536,1,2,2,7.0,0,2,26.25,2
537,0,1,1,45.0,0,0,26.55,2
538,1,1,2,30.0,0,0,106.425,1
539,0,3,1,29.69911764705882,0,0,14.5,2
540,1,1,2,22.0,0,2,49.5,1
541,1,1,2,36.0,0,2,71.0,2
542,0,3,2,9.0,4,2,31.275,2
543,0,3,2,11.0,4,2,31.275,2
544,1,2,1,32.0,1,0,26.0,2
545,0,1,1,50.0,1,0,106.425,1
546,0,1,1,64.0,0,0,26.0,2
547,1,2,2,19.0,1,0,26.0,2
548,1,2,1,29.69911764705882,0,0,13.8625,1
549,0,3,1,33.0,1,1,20.525,2
550,1,2,1,8.0,1,1,36.75,2
551,1,1,1,17.0,0,2,110.8833,1
552,0,2,1,27.0,0,0,26.0,2
553,0,3,1,29.69911764705882,0,0,7.8292,3
554,1,3,1,22.0,0,0,7.225,1
555,1,3,2,22.0,0,0,7.775,2
556,0,1,1,62.0,0,0,26.55,2
557,1,1,2,48.0,1,0,39.6,1
558,0,1,1,29.69911764705882,0,0,227.525,1
559,1,1,2,39.0,1,1,79.65,2
560,1,3,2,36.0,1,0,17.4,2
561,0,3,1,29.69911764705882,0,0,7.75,3
562,0,3,1,40.0,0,0,7.8958,2
563,0,2,1,28.0,0,0,13.5,2
564,0,3,1,29.69911764705882,0,0,8.05,2
565,0,3,2,29.69911764705882,0,0,8.05,2
566,0,3,1,24.0,2,0,24.15,2
567,0,3,1,19.0,0,0,7.8958,2
568,0,3,2,29.0,0,4,21.075,2
569,0,3,1,29.69911764705882,0,0,7.2292,1
570,1,3,1,32.0,0,0,7.8542,2
571,1,2,1,62.0,0,0,10.5,2
572,1,1,2,53.0,2,0,51.4792,2
573,1,1,1,36.0,0,0,26.3875,2
574,1,3,2,29.69911764705882,0,0,7.75,3
575,0,3,1,16.0,0,0,8.05,2
576,0,3,1,19.0,0,0,14.5,2
577,1,2,2,34.0,0,0,13.0,2
578,1,1,2,39.0,1,0,55.9,2
579,0,3,2,29.69911764705882,1,0,14.4583,1
580,1,3,1,32.0,0,0,7.925,2
581,1,2,2,25.0,1,1,30.0,2
582,1,1,2,39.0,1,1,110.8833,1
583,0,2,1,54.0,0,0,26.0,2
584,0,1,1,36.0,0,0,40.125,1
585,0,3,1,29.69911764705882,0,0,8.7125,1
586,1,1,2,18.0,0,2,79.65,2
587,0,2,1,47.0,0,0,15.0,2
588,1,1,1,60.0,1,1,79.2,1
589,0,3,1,22.0,0,0,8.05,2
590,0,3,1,29.69911764705882,0,0,8.05,2
591,0,3,1,35.0,0,0,7.125,2
592,1,1,2,52.0,1,0,78.2667,1
593,0,3,1,47.0,0,0,7.25,2
594,0,3,2,29.69911764705882,0,2,7.75,3
595,0,2,1,37.0,1,0,26.0,2
596,0,3,1,36.0,1,1,24.15,2
597,1,2,2,29.69911764705882,0,0,33.0,2
598,0,3,1,49.0,0,0,0.0,2
599,0,3,1,29.69911764705882,0,0,7.225,1
600,1,1,1,49.0,1,0,56.9292,1
601,1,2,2,24.0,2,1,27.0,2
